Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Model 1,0.9985992728454064,0.17647058823529413,0.024630541871921183,0.043227665706051875,0.5122413424501533
Model 2,0.9995148083651257,0.9346330275229358,0.6691297208538588,0.7799043062200957,0.8345347609719935
